Ä«Å×°í¸®,À½½Ä_¸µÅ©,À½½Ä_ÀÌ¸§,ÀÌ¹ÌÁö_¸µÅ©,ÇÊ¼öÀç·á,Ä®·Î¸®(kcal),Åº¼öÈ­¹°(g),´Ü¹éÁú(g),ÃÑ Áö¹æ(g)
¹İÂù,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1311,¸¶¿äÅë»ï°ã±¸ÀÌ,https://ottogi.okitchen.co.kr/pds/upfile/2022-06-21_153706342[7].jpg,"['°ñµå ¸¶¿ä³×½º2T(30g), Åë»ï°ã»ì500g, ¼Ò±İ1t(1g), ¼øÈÄÃß¾à°£, »ı¸¶´Ã9°³(45g), ´ëÆÄ2´ë(250g), ·ÎÁî¸¶¸®2ÁÙ±â(20g)']",712.53,27.58,29.15,52.39
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1381,¼øµÎºÎµÅÁö±èÄ¡Â¥±ÛÀÌ,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-21_52700194[1].jpg,"['Ã»ÁÖ½Ä µÅÁö±èÄ¡Â¥±ÛÀÌ 1ÆÑ, Ã»¾ç°íÃß 1°³(10g), ¼øµÎºÎ 130g, ¿À¶Ñ±â ÆøÇÜ 200g, ¾çÆÄ 1/6°³, ¿¾³¯ ººÀ½Âü±ú ¾à°£']",324.72,10.7,22.35,21.2
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1380,Åä´ŞÅä´Ş °¨ÀÚ±¹,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[7].jpg,"['Åä¸¶Åä 1°³(230g), ÇÁ·¹½ºÄÚ ¾ĞÂø ¿Ã¸®ºêÀ¯ 2t(10g), °¨ÀÚ 1°³(200g), ¿¾³¯ Âü±â¸§ 2t(10g), ¸¶´Ã 3°³(30g), ¼Ò±İ 1/2t, ÂÊÆÄ 1ÁÙ±â(7g), ¼øÈÄÃß ¾à°£, ¸êÄ¡Àå±¹ 5T(50g), °è¶õ 1°³, ¹° 1L']",248.2,26.9,7.9,12.5
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1373,°¨ÀÚ Â¥±ÛÀÌ,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[3].jpg,"['¿À´Ã¹ä»ó ¼ÛÅº½Ä »ç°ñ ºÎ´ëÂî°³ ¾ç³ä 1ºÀ(110g), ¿À¶Ñ±âÇÜ 1Äµ(200g), ¹° 700ml ¾çÆÄ 1/2°³(100g), ´ëÆÄ 2´ë(80g), Ã»¾ç°íÃß 2°³(20g), °¨ÀÚ 2°³(400g), ´ÙÁø¸¶´Ã 1T(20g), °íÃßÀå 1T(20g), µÈÀå 1/3T(6g), °íÃå°¡·ç 2T(15g), È²¼³ÅÁ 1T(7g), ÀÌ±İ±â ½ÃÁî´×¸À°£Àå 2T(30g)']",405.4,14.32,18.81,16.09
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1372,°¨ÀÚ ½ºÇÁ,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[1].jpg,"['Å©¸²½ºÇÁ 1/2ºÀ(40g) °¨ÀÚ 1°³(200g), ÆÄ½½¸®°¡·ç ¾à°£ ¹° 500ml, ¾çÆÄ 1/2°³(100g), ¼øÈÄÃß ¾à°£, ¹«¿°¹öÅÍ 1T(15g), ½Ä»§ 1/4Àå(15g), ¼³ÅÁ 1/2T(7g) ¼Ò±İ 1/2t(1g)']",181.38,27.48,3.12,6.77
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1363,¼Ò°í±âÅä¸¶Åä½ºÆ©,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-08_361906995[3].jpg,"['ÁöÁßÇØ»êÅä¸¶ÅäÇÏÀÌ¶óÀÌ½º 2Á¶°¢(50g), ¼Ò°í±â(µî½É) 300g, ¾çÆÄ 1°³(200g), °¨ÀÚ 1°³(130g), ÆÄÇÁ¸®Ä« 1°³(100g), ¼Ò±İ, ÈÄÃß ¾à°£, ´ÙÀÌ½ºÅä¸¶Åä(ÅëÁ¶¸²) 60g ÆÄ½½¸®°¡·ç ¾à°£, ÇÁ·¹½ºÄÚ ¾ĞÂø ¿Ã¸®ºêÀ¯  1T(15ml), ¹° 360ml, ¹Ù°ÔÆ® »§ 12Á¶°¢(80g)']",625.99,39.24,21.51,41.12
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1258,Åä¸¶Åä ½ºÇÁ,https://ottogi.okitchen.co.kr/pds/upfile/2021-11-17_589044872[9].jpg,"['¿À¶Ñ±â Ä«·¹ ¼øÇÑ¸À 1T, ¾ç¹èÃß 1/6°³, Åä¸¶Åä 2°³, ¾çÆÄ ¨ö°³, ´ëÆÄ 1´ë, ´ß°¡½¿»ì 1°³ (150g), ¿À¶Ñ±â ¼øÅä¸¶ÅäÇ»·¹ 3T, ¿À¶Ñ±â ÇÁ·¹½ºÄÚ ¿Ã¸®ºêÀ¯ 1T, ¹° 500ml, ¿À¶Ñ±â Åä¸¶Åä ÄÉªR 1/2T, ¼Ò±İ 1t, ¿À¶Ñ±â ¼øÈÄÃß 1/2t']",121.1,10.4,15.4,2.4
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1230,Ã¤È² ºñ°Ç¸¸µÎÀü°ñ,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[25].jpg,"['Ã¤È²2ºÀÁö, Ç¥°í¹ö¼¸3°³, ±×¸°°¡µç ¸¸µÎ1ºÀÁö, ÆØÀÌ¹ö¼¸40g, ´ëÆÄ , ´ÀÅ¸¸®¹ö¼¸1ÁÜ, »õ¼ÛÀÌ¹ö¼¸2°³, µÎºÎ1/2¸ğ, ¾Ë¹èÃß1/4Åë, ¹«50g']",845,125,29.2,26.6
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1227,¿äÁò¹Ì¿ª³Ã±¹,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[19].jpg,"['¿À¶Ñ±â ¿äÁò¹Ì¿ª3g(2/3ºÀ), ¹°1cup(180ml), °£ÆíÇÇÅ¬ÃÊ(¿ä¸®ÃÊ) 500ml2T(18g), ¿ÀÀÌ1/8°³', '¿À¶Ñ±â ¿¾³¯ººÀ½Âü±ú1/3t, , È«°íÃß1/3°³']",29.4,5.6,1.9,0.7
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1224,»ç°ñ¿ì°ÅÁö±¹,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[13].jpg,"['¿À¶Ñ±â ¿¾³¯»ç°ñ°õÅÁ1ºÀ, µ¥Ä£ ¿ì°ÅÁö100g, [500g], , µÈÀå1/2T, °íÃå°¡·ç1t, ´ÙÁø ¸¶´Ã1t, µé±ú°¡·ç1/2T, È«°íÃß1/2°³, ´ëÆÄ1/4´ë']",69.6,5.7,5.8,3.1
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1211,»ç°ñ ±èÄ¡Âî°³,https://ottogi.okitchen.co.kr/pds/upfile/2021-07-29_187310614[5].jpg,"['¿¾³¯ »ç°ñ°õÅÁ 350g1ºÀ, µÎºÎ 1/2¸ğ150g, ´ëÆÄ10cm, µÅÁö°í±â ¸ñ»ì 150g, ±èÄ¡ 1/4 Æ÷±â250g, Âü±â¸§ 0.3T, ¹°90ml, °íÃå°¡·ç0.7T, ´ÙÁø ¸¶´Ã0.5T, È«°íÃß1/2°³']",127.6,4.7,8.6,7.9
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1197,¸¶¶ó »ï°èÅÁ,https://ottogi.okitchen.co.kr/pds/upfile/2021-06-26_856606119[19].jpg,"['¿À¶Ñ±â ¿¾³¯ »ï°èÅÁ 1°³, Ã»°æÃ¤ 1°³, ¿À¶Ñ±â ÀÌ±İ±â ÈÌ±Å ¸¶¶óÅÁ¼Ò½º 3T,ÆØÀÌ¹ö¼¸ 1/4°³, ¿À¶Ñ±â ¿¾³¯Âü±ú 1t']",893.3,42.3,76.9,46.3
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1186,Ä¥Çâ°è,https://ottogi.okitchen.co.kr/pds/upfile/2021-05-29_147251679[27].jpg,"['»ï°èÅÁ¿ë ´ß 1¸¶¸®, ¸»¸° µµ¶óÁö 50g, »ı°­ 1°³, ´ëÆÄ 2´ë, ¹° 150ml', '¿À¶Ñ±â ¼è°í±âÀå±¹ 5T, ¿À¶Ñ±â ¸êÄ¡Àå±¹ 5T, ¿À¶Ñ±â Çö¹Ì½ÄÃÊ 6T, ¿À¶Ñ±â ¹æ¾Ñ°£ Âü±â¸§ 5T, ¿À¶Ñ±â ¹éÅëÈÄÃß 1/2T']",795.4,18.9,95.4,44.1
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1173,È«ÇÕÅä¸¶Åä½ºÆ©,https://ottogi.okitchen.co.kr/pds/upfile/2021-05-29_147251679[1].jpg,"['È«ÇÕ400g, ¼ÕÁú¿ÀÂ¡¾î1¸¶, »õ¿ì4¸¶¸®, ¼øÅä¸¶ÅäÇ»·¹1.5ÄÅ, ¹°400ml, ¾çÆÄ1/2°³', '¸¶´Ã3Åç, Ã»¾ç°íÃß1°³, ¿Ã¸®ºêÀ¯2T, ¼Ò±İ¾à°£, ÆÄ½½¸®¾à°£, ÈÄÃß¾à°£']",465.8,63.2,15.7,17.9
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1112,¾óÅ«¼öÁ¦ºñ,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018447081[9].jpg,"['¿À¶Ñ±â ¿À´Ã¹ä»ó ¾óÅ«ºñ¹ı ¸Å¿îÅÁ¾ç³ä 1°³(110g), ¹° 800ml, ¹Ğ°¡·ç 2ÄÅ(250g), ¹°(¹İÁ×¿ë) 150ml, ¼Ò±İ 1/3t, ¿À¶Ñ±â Äá±â¸§ 1/2T', '°¨ÀÚ 1°³, ´ëÆÄ 1/3´ë, ¾çÆÄ 1/2°³, ¾ÖÈ£¹Ú 1/3°³, Ã»¾ç°íÃß 1/2°³, È«°íÃß 1°³']",449.8,83.6,16.6,3.6
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1111,¾óÅ«È«ÇÕÅÁ,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018447081[11].jpg,"['È«ÇÕ 600g, ¿À¶Ñ±â ¾óÅ«ºñ¹ı ¸Å¿îÅÁ¾ç³ä 1°³(110g), ¹° 700ml, ¾çÆÄ 1°³, ´ÙÁø¸¶´Ã 1T, ¿À¶Ñ±â ¿¾³¯ °íÃß¸À±â¸§ 1T', 'Ã»¾ç°íÃß 1°³, È«°íÃß 1°³']",62.7,2.3,7.2,2.6
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1110,¼øµÎºÎÂÌ¸é,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018447081[25].jpg,"['¼øµÎºÎ 1ºÀ(350g), ¿À¶Ñ±â »ıÂÌ¸é»ç¸® 1/4ºÀ(200g), ¿À¶Ñ±â ¿À´Ã¹ä»ó ¼øµÎºÎÂî°³¾ç³ä 1ºÀ(90g), ¹° 400ml', '¾çÆÄ 1/2°³, ¾ÖÈ£¹Ú 1/3°³, ´ëÆÄ 1/4´ë, ´ÙÁø ¸¶´Ã 1t, ¿À¶Ñ±â ½Ä¿ëÀ¯(Äá±â¸§) 2T']",478.3,87.8,15.9,5.2
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1105,¸¸µÎÀü°ñ,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018444906[11].jpg,"['¿À¶Ñ±â X.O.±¼¸²¸¸µÎ 10°³, ¿À¶Ñ±â ¿¾³¯ »ç°ñ°õÅÁ 500g, ¼Ó¹èÃß 150g, ´ÀÅ¸¸®¹ö¼¸ 100g, Ã¤½ã ¼è°í±â 100g, ¿À¶Ñ±â ¼ÒºÒ°í±â ¾ç³ä 1T, ´ëÆÄ 1´ë', '°íÃå°¡·ç 2T, °íÃßÀå 1T, ÀÌ±İ±â ÆÒ´õ¾çÁ¶°£Àå 1T, ¿À¶Ñ±â ¹ÌÇâ 1T, ´ÙÁø¸¶´Ã 1/2T, ¿À¶Ñ±â ¼øÈÄÃß ¾à°£']",412.8,34.4,15.8,17.9
±¹¹°,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1100,´ßÄ®±¹¼ö,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018444906[7].jpg,"['´ß°¡½¿»ì ÇÑµ¢¾î¸®, ¹° 1000ml, ¸¶´Ã 15Åç, ¿À¶Ñ±â ÅëÈÄÃß ¾à°£, ¿À¶Ñ±â »ıÄ®±¹¼ö 300g', '¾ÖÈ£¹Ú 1/4°³, ´ç±Ù 1/4°³, ´ëÆÄ 1´ë, ¾çÆÄ 1°³', '°£Àå 2T, ¿À¶Ñ±â ¼øÈÄÃß ¾à°£, ¼Ò±İ 1T, ´ÙÁø¸¶´Ã 1T']",358.6,69.3,15.8,2.4
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1431,Ã¢³ç°¥¸¯ ¼ÒÀÌ¼Ò½º ÆÄ½ºÅ¸,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[9].jpg,"['½ºÆÄ°ÔÆ¼¸é 500¿ø µ¿ÀüÅ©±â, Ã¢³ç°¥¸¯¼ÒÀÌ¼Ò½º 80g, ÇÁ·¹½ºÄÚ ¿Ã¸®ºê¿ÀÀÏ 8g, Ç¥°í¹ö¼¸ 1°³, ¾çÆÄ 1/3°³, ¼Ò°í±â ºÎÃ¤»ì 50g, È«ÇÇ¸Á 1/2°³, Ã»¾ç°íÃß 1°³, ¸é¼ö 40~50g, ¼Ò±İ ¾à°£, ÈÄÃß ¾à°£']",602.53,93.33,23.05,13.07
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1383,º£ÀÌÄÁ ·ÎÁ¦¶±ººÀÌ,https://ottogi.okitchen.co.kr/pds/upfile/2023-05-26_944322754[3].jpg,"['ÇÁ·¹½ºÄÚ½ºÆÄ°ÔÆ¼¼Ò½º º£ÀÌÄÁ·ÎÁ¦ 100g, ÂÌ±êÇÑ ½Ò¶±ººÀÌ¶± 200g, ´ëÆÄ 1/3´ë(30g), Áß±¹½Ä³ĞÀº´ç¸é 100g 20g, Á÷Á¢°¥¾Æ¸Ô´ÂÅëÈÄÃß ¾à°£, »îÀº ¸ŞÃß¸®¾Ë 4¾Ë(40g), º£ÀÌÄÁ 1Àå(18g), ¸¶´Ã 1Åç(5g), ¾çÆÄ 1/4°³(50g), ¸ÀÀÖ´Â ¿À¸®Áö³ÎÇÖµµ±× 1°³(80g), ¾ç¹èÃß 50g, °íÃßÀå 1t(3g), ¿ìÀ¯ 150ml, ¹° 100ml']",552.3,83.9,15.5,77.2
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1360,È÷¾ß½ÃÃòÄ«,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625953[15].jpg,"['¿¾³¯±¹¼öÁß¸é(500g)100g, Åä¸¶Åä1/2°³(80g), ³Ã¸éÀ°¼ö1ºÀ(330g), ¿ÀÀÌ2/3°³(100g), ´Ş°¿2°³, ½½¶óÀÌ½º ÇÜ4Àå(50g), ¸À»ì60g, °í¼ÒÇÑ Âü±â¸§1t(3g), ¿¬°ÜÀÚ1t(ÃëÇâ²¯), °¡¾²¿ÀºÎ½ÃÀå±¹2T(20g), ¿¾³¯ ººÀ½Âü±ú1t']",669.04,78.14,16.34,7.05
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1357,Åä¸¶ÅäÁøÂ«»Í,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625953[9].jpg,"['ÁøÂ«»Í1°³, Åä¸¶ÅäÄÉªR1T, ¹æ¿ïÅä¸¶Åä8°³(90g), ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯1T, ¹°550ml, °è¶õ1°³']",699.2,87.74,17.83,31.08
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1353,¿ìÀ¯Å©¸²ÆÄ½ºÅ¸,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625953[1].jpg,"['¾çÆÄ1/2°³(100g), ¿ìÀ¯300ml, ÇÁ·¹½ºÄÚ Æ÷µµ¾¾À¯1T(15g), Å©¸²½ºÇÁ30g, »ı¸¶´Ã3°³(10g), º£ÀÌÄÁ50g, ¾ç¼ÛÀÌ¹ö¼¸2°³(30g), ¼øÈÄÃß¾à°£, ¼Ò±İ¾à°£(2²¿Áı), ÇÁ·¹½ºÄÚ ½ºÆÄ°ÔÆ¼¸é100g']",478.9,32.37,9.92,34.62
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1352,¿Ã¸®ºê¹ÙÁú ÂüÄ¡ ÆÄ½ºÅ¸,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625401[11].jpg,"['¿Ã¸®ºê¹ÙÁúÂüÄ¡Äµ1°³, ÇÁ·¹½ºÄÚ Ææ³×40g, ÇÁ·¹½ºÄÚ ÈÄ½Ç¸®40g, ÇÁ·¹½ºÄÚ ¿Ã¸®ºêÀ¯2T(20g), ·¹¸óÁÖ½º1T(10g), ¹æ¿ïÅä¸¶Åä5°³(50g), ¼Ò±İ(¸é »î´Â ¿ë)10g, ¼øÈÄÃß¾à°£, ¾çÆÄ1/10°³(20g), ¿ÀÀÌ1/4°³(35g), ÆÄ¸¶»ê Ä¡Áî°¡·ç¾à°£(2g), ¼Ò±İ(¼Ò½º ¿ë)1t(1g)']",736.99,60.58,29.14,21.9
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1351,¿­¶ó¸é Åõ¿ò¹Ù,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625401[9].jpg,"['ÇÁ·¹½ºÄÚ ±î¸£º¸³ª¶ó¼Ò½º5T(75g), ¿­¶ó¸é1°³, Ä¬Å×ÀÏ»õ¿ì8¸¶¸®(40g), ¾ç¼ÛÀÌ¹ö¼¸2°³(40g), ¾çÆÄ1/4°³(50g), ¹°150ml, ÇÁ·¹½ºÄÚ ¿Ã¸®ºêÀ¯1T, ÆÄ½½¸®°¡·ç ¶Ç´Â Ä¡Áî°¡·ç¾à°£']",358.6,69.3,15.8,2.4
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1348,¹æ¿ïÅä¸¶Åä¼Ò¹Ù,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625401[3].jpg,"['´Ù½Ã¸¶Àå±¹50ml, ¹æ¿ïÅä¸¶Åä7°³(120g), ¿¾³¯ ¸Ş¹Ğ±¹¼ö100g, ½ÇÆÄ1ÁÙ±â(5g), ´Ù½Ã¸¶½ÄÃÊ4T(40g), ±è°¡·ç¾à°£, ¼³ÅÁ2T(20g), (À°¼ö¿ë) Â÷°¡¿î ¹°450ml, ¼Ò±İ¾à°£, (ÀıÀÓ¿ë) ¹°2T(20g), ¿¾³¯ ººÀ½Âü±ú1t']",478.38,103.23,12.69,2.68
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1347,¹«ÆÄ¶ó¸é,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625401[1].jpg,"['Áø¶ó¸é ¸Å¿î¸À1ºÀÁö, Çâ±ßÇÑ µé±â¸§2T(20g), ¹«1/4°³(140g), ´ÙÁø¸¶´Ã1t(7g), Ã»¾ç°íÃß1/2°³(5g), »õ¿ìÁ£1t(3g), ¹°550ml, ´ëÆÄ1/2´ë']",717.57,87.79,14.62,34.86
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1344,·ÎÁ¦ ¹ÙÁö¶ô ¸®Á¶¶Ç,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-21_346893421[1].jpg,"['ÇÁ·¹½ºÄÚ °¨¹Ù½º150g, ¹æ¿ï Åä¸¶Åä5°³(80g), ÆÄ½ºÅ¸¼Ò½º, , »ı¸¶´Ã12°³(45g), Èò´Ù¸®»õ¿ì10¸¶¸®(250g), ºê·ÎÄİ¸®4Á¶°¢(60g), ¼øÈÄÃß¾à°£, ÆäÆÛ·ĞÄ¡³ë3°³(3g), ¹Ù°ÔÆ®»§8Á¶°¢(98g), ÇÁ·¹½ºÄÚ 2T(20g), ÆÄ½½¸®°¡·ç¾à°£, ¾ĞÂø ¿Ã¸®ºêÀ¯']",510.25,94.75,7.7,15.02
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1343,°è¶õ±¹¼ö,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-21_346892729[1].jpg,"['ÇÁ·¹½ºÄÚ °¨¹Ù½º150g, ¹æ¿ï Åä¸¶Åä5°³(80g), ÆÄ½ºÅ¸¼Ò½º, »ı¸¶´Ã12°³(45g), Èò´Ù¸®»õ¿ì10¸¶¸®(250g), ºê·ÎÄİ¸®4Á¶°¢(60g), ¼øÈÄÃß¾à°£, ÆäÆÛ·ĞÄ¡³ë3°³(3g), ¹Ù°ÔÆ®»§8Á¶°¢(98g), ÇÁ·¹½ºÄÚ 2T(20g), ÆÄ½½¸®°¡·ç¾à°£, ¾ĞÂø ¿Ã¸®ºêÀ¯']",418.81,80.55,12.81,4.98
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1337,È«ÇÕÁø¶ó°Å¶ó¸é,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[15].jpg,"['Áø¶ó¸é ¸Å¿î¸À1ºÀ(120g), Áø¶ó°Å100ml, ¶ß°Å¿î ¹°450ml, È«ÇÕ250g, ´ëÆÄ1/10°³(10g), Ã»¾ç°íÃß1°³(10g), ¿¾³¯ °íÃß¸À ±â¸§2T(20g)']",874.05,85.99,46.81,37.3
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1334,Ä«·¹¿Àµ¿Åë¸é,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[9].jpg,"['¿Àµ¿Åë¸é1ºÀ, ¿À¶Ñ±âÄ«·¹2T(20g), , (¾à°£¸Å¿î¸À), ´ëÆÄ1/5´ë(20g), °è¶õ1°³(60g), ¹°550ml']",677.6,95.28,18.74,24.48
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1331,¼ö¶õÀ» ¾ñÀº ¸í¶õÆÄ½ºÅ¸,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[3].jpg,"['ÇÁ·¹½ºÄÚ100g, ¸¶´Ã5°³(15g), ¸í¶õ¿ÀÀÏÆÄ½ºÅ¸¼Ò½º, , °è¶õ1°³(60g), ÇÁ·¹½ºÄÚ ½ºÆÄ°ÔÆ¼¸é80g, ÇÁ·¹½ºÄÚ ¾ĞÂø 2T(20g), ¼Ò±İ1t(3g), ¿Ã¸®ºêÀ¯, , ÆÄ½½¸®°¡·ç¾à°£, »ç°ú ½ÄÃÊ2T(20g), ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯À¯ÅÁ¿ë']",637.12,70.67,18.88,29.2
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1327,µÎ¸¨Æ¢±è¿ìµ¿,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115059673[7].jpg,"['¹Ù»èÇÏ°í °í¼ÒÇÑ Æ¢±è°¡·ç50g, ¸é»ç¸® ¿ìµ¿1ºÀ(190g), ¹°(Æ¢±è¹İÁ×¿ë)80ml', '´ëÆÄ1/10´ë(10g), µÎ¸¨4°³(44g), ¾¦°«4ÁÙ±â(20g), ¾î¹¬1Àå(50g), À¯ºÎÃ¤10g, ¹°(À°¼ö¿ë)500ml, °¡¾²¿ÀºÎ½ÃÀå±¹70ml, Äá±â¸§À¯ÅÁ¿ë, ¿¾³¯ ººÀ½Âü±ú1t']",649.46,128.85,21.2,5.95
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1325,°¨ÀÚ Ä®Á¦ºñ,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115059673[3].jpg,"['°¨ÀÚ¼öÁ¦ºñÅ°Æ®1ÆÑ(265g), °¨ÀÚ1/2°³(60g), ¾ÖÈ£¹Ú1/6°³(35g)', '´ÀÅ¸¸®¹ö¼¸1¹­À½(30g), ¾çÆÄ1/6°³(35g), ´ëÆÄ1/8´ë(15g), ¿¾³¯ººÀ½Âü±ú¾à°£, ¹°(À°¼ö¿ë)1.2L, ¹°(¹İÁ×¿ë)100ml, ´ç±Ù1/8°³(20g)']",797.52,128.49,42.29,12.86
¸é,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=5&s_orderby=new&idx=1318,¼øµÎºÎ ÁøÂ«»Í,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[13].jpg,"['¿À¶Ñ±â ÁøÂ«»Í 1°³, ¼øµÎºÎ1/2ºÀ(75g), ¹° 450ml, Ã»¾ç°íÃß 1°³ (10g), ÂÊÆÄ 1ÁÙ±â(10g), °è¶õ 1°³(60g)']",630.05,82.67,21.55,23.35
